PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Landry Shamet,WAS,32,0.5,8.1,1,0.5,0.2,0.4,50,57.1,0,12.5,0,0,43.8,54
Julian Strawther,DEN,31,0.5,10.9,1,0.5,0.2,0.5,33.3,46.7,6.3,0,6.3,0,37.5,54
Julian Champagnie,SAS,41,0.4,6,1.07,0.4,0.1,0.3,42.9,57.1,0,6.7,0,0,40,42.5
Danuel House Jr.,PHI,32,0.4,6.9,1.14,0.5,0.2,0.4,58.3,66.7,0,14.3,0,0,50,30.6
Nicolas Batum,PHI,31,0.4,5.2,1.23,0.5,0.2,0.4,50,66.7,0,7.7,0,0,46.2,19
Dante Exum,DAL,31,0.4,5.9,1.23,0.5,0.2,0.3,60,70,7.7,15.4,0,0,53.8,19
Jaylen Brown,BOS,45,0.5,5.2,0.71,0.4,0.2,0.5,33.3,40.5,4.2,8.3,0,0,29.2,83.7
Stephen Curry,GSW,43,0.5,5.4,0.77,0.4,0.1,0.5,27.3,38.6,0,0,0,0,27.3,81.5
Jimmy Butler,MIA,35,0.6,6.3,0.77,0.5,0.2,0.6,30,35,9.1,4.5,9.1,4.5,31.8,81.5
Darius Garland,CLE,22,0.8,7.4,1,0.8,0.3,0.8,35.3,47.1,5.9,0,5.9,5.9,35.3,54
P.J. Washington,CHA,41,0.4,3.3,1.06,0.4,0.2,0.4,46.7,56.7,0,6.3,0,0,43.8,43.5
Isaiah Stewart,DET,34,0.5,3.7,1.06,0.5,0.2,0.4,46.7,53.3,6.3,6.3,6.3,6.3,43.8,43.5
Naz Reid,MIN,50,0.3,4.1,1.13,0.3,0.1,0.3,38.5,50,13.3,0,13.3,0,46.7,32.6
Norman Powell,LAC,46,0.3,4.1,1.21,0.4,0.1,0.2,54.5,68.2,7.1,14.3,7.1,0,50,21.6
Bryce McGowens,CHA,36,0.4,6.2,1.31,0.5,0.2,0.3,60,75,7.7,15.4,7.7,0,53.8,12.4
Isaiah Joe,OKC,45,0.3,4.3,1.42,0.4,0.1,0.2,54.5,77.3,0,8.3,0,0,50,6.4
Bogdan Bogdanovic,ATL,47,0.7,6.3,0.58,0.4,0.1,0.6,25.9,33.3,0,12.9,0,0,22.6,91
Ayo Dosunmu,CHI,47,0.5,5.6,0.82,0.4,0.1,0.3,25,34.4,13.6,13.6,13.6,0,31.8,75.4
Josh Richardson,MIA,40,0.6,6,0.82,0.5,0.2,0.5,31.6,42.1,4.5,9.1,0,0,31.8,75.4
Doug McDermott,SAS,44,0.3,6.4,1.29,0.4,0.2,0.3,58.3,75,0,14.3,0,0,50,14.2
LeBron James,LAL,44,0.5,5.6,0.91,0.4,0.2,0.4,42.1,47.4,4.8,9.5,4.8,4.8,38.1,64.4
De'Anthony Melton,PHI,33,0.6,5.3,1,0.6,0.2,0.5,43.8,59.4,0,15.8,0,0,36.8,54
John Collins,UTA,47,0.4,4.3,1.06,0.4,0.1,0.3,43.8,59.4,0,11.1,0,0,38.9,45.5
Amen Thompson,HOU,29,0.6,8.9,1.19,0.7,0.2,0.5,50,60.7,12.5,6.3,12.5,6.3,50,24.5
